PCTIME	PHB	RECORD	DEM0	DEM1	DEM2	DEM3	PWR0	PWR1	PWR2	PWR3	RF POWER	FREQUENCY
713	0	0	-1652	105	-308	1218	-4909	32092	-11823	15633	-40	-1.000000
713	0	0	-1666	107	-317	1219	-4880	32085	-11789	15632	-40	-1.000000
713	0	0	-1650	101	-295	1209	-4870	32078	-11773	15659	-40	-1.000000
713	0	0	-1632	108	-289	1222	-4922	32037	-11875	15583	-40	-1.000000
713	0	0	-1640	120	-296	1233	-4933	32049	-11880	15589	-40	-1.000000
713	0	0	-1627	109	-282	1219	-4922	32038	-11884	15573	-40	-1.000000
713	0	0	-1656	105	-311	1227	-4983	32019	-11943	15526	-40	-1.000000
713	0	0	-1663	104	-325	1204	-5008	31981	-11934	15513	-40	-1.000000
713	0	0	-1629	115	-297	1226	-5060	31971	-12001	15486	-40	-1.000000
713	0	0	-1656	114	-307	1232	-5106	31931	-12066	15455	-40	-1.000000
713	0	0	-1661	100	-306	1207	-5010	32014	-11959	15536	-40	-1.000000
713	0	0	-1654	113	-303	1231	-5028	32007	-11955	15528	-40	-1.000000
713	0	0	-1621	120	-284	1238	-5053	31973	-12034	15490	-40	-1.000000
713	0	0	-1653	108	-301	1220	-5042	32001	-12040	15509	-40	-1.000000
713	0	0	-1651	124	-315	1233	-5098	31988	-12046	15497	-40	-1.000000
713	0	0	-1629	114	-300	1219	-5082	32009	-12042	15521	-40	-1.000000
713	0	0	-1631	118	-302	1220	-5143	31951	-12095	15461	-40	-1.000000
713	0	0	-1655	102	-319	1210	-5125	31986	-12047	15501	-40	-1.000000
713	0	0	-1660	102	-297	1226	-5128	31935	-12053	15447	-40	-1.000000
713	0	0	-1667	101	-297	1222	-5151	31942	-12047	15434	-40	-1.000000
713	0	0	-1654	112	-284	1236	-4936	32064	-11863	15572	-40	-1.000000
713	0	0	-1659	110	-322	1219	-5034	32000	-11969	15480	-40	-1.000000
713	0	0	-1658	94	-319	1200	-4966	32102	-11852	15568	-40	-1.000000
713	0	0	-1645	104	-298	1215	-4967	32068	-11912	15510	-40	-1.000000
713	0	0	-1642	116	-302	1222	-4996	32054	-11924	15524	-40	-1.000000
1702	0	0	-1650	111	-286	1232	-4871	32122	-11820	15599	-40	-1.000000
1702	0	0	-1639	112	-287	1226	-4809	32161	-11770	15644	-40	-1.000000
1702	0	0	-1644	104	-307	1213	-4868	32153	-11783	15636	-40	-1.000000
1702	0	0	-1651	97	-310	1211	-4922	32092	-11713	15582	-40	-1.000000
1702	0	0	-1641	105	-295	1221	-4908	32083	-11859	15552	-40	-1.000000
1702	0	0	-1643	115	-299	1218	-4904	32109	-11850	15586	-40	-1.000000
1702	0	0	-1653	109	-313	1226	-4895	32103	-11821	15596	-40	-1.000000
1702	0	0	-1650	115	-321	1219	-4894	32159	-11772	15648	-40	-1.000000
1702	0	0	-1656	106	-315	1210	-4853	32142	-11756	15649	-40	-1.000000
1702	0	0	-1644	98	-285	1209	-4878	32103	-11810	15602	-40	-1.000000
1702	0	0	-1655	103	-301	1222	-4887	32109	-11773	15618	-40	-1.000000
